City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Sarangani,PH,5.4033,125.4636,81.84,73,28,3.67,scattered clouds
165,Santa Cruz Del Sur,CU,20.7147,-77.9956,69.73,89,0,5.93,clear sky
166,Amarante Do Maranhao,BR,-5.5667,-46.7422,71.02,99,94,1.59,overcast clouds
167,Ponta Do Sol,PT,32.6667,-17.1,65.01,68,43,6.51,scattered clouds
168,Birjand,IR,32.8663,59.2211,45.07,49,75,11.5,broken clouds
169,Viedma,AR,-40.8135,-62.9967,73.35,19,73,14.58,broken clouds
170,Pevek,RU,69.7008,170.3133,-6.75,100,97,3.04,overcast clouds
171,Zhangye,CN,38.9342,100.4517,29.19,38,0,10.71,clear sky
172,Tumarbong,PH,10.3766,119.4579,78.6,78,92,10.67,overcast clouds
173,Chuy,UY,-33.6971,-53.4616,68.11,54,44,8.7,scattered clouds
174,Amos,CA,48.5669,-78.1162,-1.93,85,100,12.26,overcast clouds
175,Wattegama,LK,6.7989,81.4808,83.34,68,72,11.05,broken clouds
176,Hobyo,SO,5.3505,48.5268,83.68,57,40,20.04,scattered clouds
177,Tolaga Bay,NZ,-38.3667,178.3,62.15,87,96,13.98,overcast clouds
178,Tonantins,BR,-2.8731,-67.8022,73.15,98,100,0.6,overcast clouds
179,Posse,BR,-14.0931,-46.3694,68.88,93,100,4.9,overcast clouds
180,Port Elizabeth,ZA,-33.918,25.5701,72.1,68,90,13.8,overcast clouds
181,Provideniya,RU,64.3833,-173.3,16.7,49,46,9.78,scattered clouds
182,Frontera,MX,26.9333,-101.45,55.33,21,22,5.01,few clouds
183,Sahuaripa,MX,29.05,-109.2333,54.25,42,0,4.14,clear sky
184,Norman Wells,CA,65.282,-126.8329,4.39,81,100,6.06,overcast clouds
185,Ulagan,RU,50.6321,87.9563,21.11,95,100,1.61,overcast clouds
186,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.37,73,56,9.15,broken clouds
187,Guarapari,BR,-20.6667,-40.4975,77.9,80,100,9.95,overcast clouds
188,Tahoua,NE,14.8888,5.2692,73.38,21,0,10.36,clear sky
189,Balkhash,KZ,46.844,74.9804,23.61,74,40,11.18,snow
190,Ranong,TH,9.9658,98.6348,89.53,57,12,4.56,few clouds
191,Nhulunbuy,AU,-12.2333,136.7667,86.61,74,74,9.22,broken clouds
192,Te Anau,NZ,-45.4167,167.7167,44.15,85,3,4.72,clear sky
193,Katsuura,JP,35.1333,140.3,35.62,97,100,16.33,light rain
194,Yellowknife,CA,62.456,-114.3525,-25.08,68,90,9.22,overcast clouds
195,Nikolskoye,RU,59.7035,30.7861,29.39,97,100,4.79,snow
