City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Ternate,ID,80.71,overcast clouds,0.8,127.4,
226,Manado,ID,83.17,scattered clouds,1.487,124.8455,
228,Gombong,ID,83.35,broken clouds,-7.6072,109.5142,
233,Jibuti,DJ,78.22,broken clouds,11.5,42.5,
234,Axim,GH,85.64,clear sky,4.8699,-2.2405,
237,Sinnamary,GF,75.34,broken clouds,5.3833,-52.95,
238,Cairns,AU,88.11,scattered clouds,-16.9167,145.7667,
239,Kokopo,PG,78.62,light rain,-4.352,152.2633,
241,Flic En Flac,MU,86.56,light rain,-20.2742,57.3631,
242,Kiboga,UG,88.11,overcast clouds,0.9161,31.7742,
247,Port Blair,IN,81.64,clear sky,11.6667,92.75,
248,Luba,GQ,83.28,light rain,3.4568,8.5547,
251,Isangel,VU,82.51,broken clouds,-19.55,169.2667,
262,Carnarvon,AU,84.27,light rain,-24.8667,113.6333,
263,Waingapu,ID,79.59,overcast clouds,-9.6567,120.2641,
264,Ongole,IN,81.0,few clouds,15.5,80.05,
271,Namatanai,PG,78.1,moderate rain,-3.6667,152.4333,
272,Nelson Bay,AU,76.08,scattered clouds,-32.7167,152.15,
275,Birao,CF,89.91,scattered clouds,10.2849,22.7882,
280,Quatre Cocos,MU,86.11,scattered clouds,-20.2078,57.7625,
281,Karratha,AU,84.96,clear sky,-20.7377,116.8463,
284,Kuching,MY,75.42,moderate rain,1.55,110.3333,
288,Lorengau,PG,81.81,overcast clouds,-2.0226,147.2712,
290,Youkounkoun,GN,84.94,few clouds,12.5333,-13.1333,
291,Daman,IN,76.8,clear sky,20.4167,72.85,
297,Ipixuna,BR,75.15,scattered clouds,-1.7625,-48.8043,
298,Gold Coast,AU,78.46,broken clouds,-28.0,153.4333,
308,Kinkala,CG,80.91,overcast clouds,-4.3614,14.7644,
315,Toamasina,MG,84.2,light rain,-18.1667,49.3833,
316,Badak,PH,81.64,scattered clouds,6.8472,124.7206,
324,Tibati,CM,87.33,overcast clouds,6.4667,12.6333,
328,Vao,NC,78.04,overcast clouds,-22.6667,167.4833,
334,San Juan,AR,75.06,clear sky,-31.5375,-68.5364,
340,Touba,CI,83.82,broken clouds,8.2833,-7.6833,
343,Vanimo,PG,78.66,overcast clouds,-2.6741,141.3028,
348,Pemangkat,ID,81.64,scattered clouds,1.1667,108.9667,
351,Mangochi,MW,77.38,light rain,-14.4782,35.2645,
353,Wagar,SD,82.63,few clouds,16.1525,36.2032,
354,Labuhan,ID,82.76,overcast clouds,-6.8844,112.2051,
355,Guiglo,CI,87.51,broken clouds,6.5456,-7.4966,
362,Metro,ID,82.65,moderate rain,-5.1131,105.3067,
364,Richards Bay,ZA,77.79,overcast clouds,-28.783,32.0377,
369,Makueni,KE,79.21,light rain,-1.8041,37.6203,
371,Saint-Pierre,RE,85.64,moderate rain,-21.3393,55.4781,
373,Kudahuvadhoo,MV,82.6,overcast clouds,2.6708,72.8944,
375,Beloha,MG,89.4,scattered clouds,-25.1667,45.05,
377,Hambantota,LK,84.45,broken clouds,6.1241,81.1185,
378,Trat,TH,89.8,scattered clouds,12.5,102.5,
390,Yangambi,CD,90.0,few clouds,0.8102,24.4336,
399,Sabang,ID,81.1,scattered clouds,5.8933,95.3214,
404,Kirakira,SB,80.37,overcast clouds,-10.4544,161.9205,
408,Payakumbuh,ID,78.96,overcast clouds,-0.2202,100.6308,
411,Maragogi,BR,80.67,broken clouds,-9.0122,-35.2225,
416,Asosa,ET,84.49,broken clouds,10.0667,34.5333,
420,Kavieng,PG,81.3,light rain,-2.5744,150.7967,
424,Auki,SB,79.3,moderate rain,-8.7676,160.7034,
425,Ambilobe,MG,85.82,moderate rain,-13.2,49.05,
428,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,
